Date,Open,High,Low,Close,Volume,Adj Close
2008-01-02,63885.00,63906.00,53011.00,59490.00,3865000,59490.00
2007-12-03,63018.00,66529.00,59414.00,63886.00,2325400,63886.00
2007-11-01,65317.00,65317.00,58096.00,63006.00,6134900,63006.00
2007-10-01,60465.00,65949.00,59473.00,65318.00,6876900,65318.00
2007-09-03,54641.00,61054.00,52321.00,60465.00,5882100,60465.00
2007-08-01,54170.00,55616.00,44938.00,54637.00,52098100,54637.00
2007-07-02,54396.00,58293.00,52627.00,54183.00,46980800,54183.00
2007-06-01,52271.00,55003.00,50885.00,54392.00,104675300,54392.00
2007-05-02,48955.00,52877.00,48953.00,52268.00,110745900,52268.00
2007-04-02,45805.00,49856.00,45225.00,48956.00,147218700,48956.00
2007-03-01,43886.00,45950.00,41117.00,45805.00,137422200,45805.00
2007-02-01,44642.00,46752.00,42571.00,43892.00,132611800,43892.00
2007-01-02,44476.00,45388.00,41266.00,44642.00,102016600,44642.00
2006-12-01,41930.00,44675.00,41192.00,44474.00,103090100,44474.00
2006-11-01,39279.00,42308.00,39279.00,41932.00,121910300,41932.00
2006-10-02,36450.00,39843.00,36438.00,39263.00,121889800,39263.00
2006-09-01,36232.00,37739.00,34127.00,36449.00,126016700,36449.00
2006-08-01,37077.00,38172.00,35123.00,36232.00,6271100,36232.00
2006-07-03,36629.00,37601.00,34591.00,37077.00,000,37077.00
2006-06-01,36531.00,38437.00,32057.00,36631.00,000,36631.00
2006-05-02,40365.00,42062.00,34911.00,36530.00,000,36530.00
2006-04-03,37952.00,40425.00,37816.00,40363.00,000,40363.00
2006-03-01,38610.00,39395.00,36085.00,37952.00,000,37952.00
2006-02-01,38382.00,38978.00,35891.00,38610.00,000,38610.00
2006-01-02,33462.00,38804.00,32860.00,38383.00,000,38383.00
2005-12-01,31921.00,33837.00,31921.00,33456.00,000,33456.00
2005-11-01,30194.00,32350.00,29948.00,31917.00,000,31917.00
2005-10-03,31582.00,32052.00,28161.00,30194.00,000,30194.00
2005-09-01,28044.00,31584.00,27799.00,31584.00,000,31584.00
2005-08-01,26042.00,28072.00,25734.00,28045.00,000,28045.00
2005-07-01,25051.00,26306.00,24192.00,26042.00,000,26042.00
2005-06-01,25209.00,26755.00,24224.00,25051.00,000,25051.00
2005-05-02,24847.00,25808.00,23680.00,25207.00,000,25207.00
2005-04-01,26612.00,27178.00,24154.00,24844.00,000,24844.00
2005-03-01,28135.00,29584.00,25761.00,26611.00,000,26611.00
2005-02-01,24392.00,28778.00,24073.00,28139.00,000,28139.00
2005-01-03,26193.00,26492.00,23534.00,24351.00,000,24351.00
2004-12-01,25129.00,26270.00,24452.00,26196.00,000,26196.00
2004-11-01,23050.00,25160.00,22941.00,25128.00,000,25128.00
2004-10-01,23246.00,24362.00,22390.00,23052.00,000,23052.00
2004-09-01,22803.00,23485.00,21739.00,23245.00,000,23245.00
2004-08-02,22342.00,23381.00,21178.00,22803.00,000,22803.00
2004-07-01,21152.00,22676.00,20821.00,22337.00,000,22337.00
2004-06-01,19545.00,21183.00,19177.00,21149.00,000,21149.00
2004-05-03,19622.00,20342.00,17601.00,19545.00,000,19545.00
2004-04-01,22142.00,23260.00,19508.00,19607.00,000,19607.00
2004-03-01,21761.00,23373.00,20756.00,22142.00,000,22142.00
2004-02-02,21842.00,23374.00,20092.00,21755.00,000,21755.00
2004-01-02,22233.00,24518.00,21649.00,21851.00,000,21851.00
2003-12-01,20184.00,22310.00,20184.00,22236.00,000,22236.00
2003-11-03,17983.00,20188.00,17983.00,20184.00,000,20184.00
2003-10-01,16010.00,18660.00,16010.00,17982.00,000,17982.00
2003-09-01,15174.00,17104.00,15075.00,16011.00,000,16011.00
2003-08-01,13579.00,15252.00,12757.00,15174.00,000,15174.00
2003-07-01,12967.00,13947.00,12893.00,13572.00,000,13572.00
2003-06-02,13441.00,14072.00,12895.00,12973.00,000,12973.00
2003-05-05,12829.00,13565.00,12576.00,13422.00,000,13422.00
2003-04-01,11283.00,12820.00,11283.00,12557.00,000,12557.00
2003-03-05,10263.00,11421.00,10104.00,11274.00,000,11274.00
2003-02-03,10943.00,11067.00,9968.00,10281.00,000,10281.00
2003-01-02,11291.00,12350.00,10457.00,10941.00,000,10941.00
2002-12-02,10517.00,11648.00,10307.00,11268.00,000,11268.00
